x,y,yaw,v
-0.664934622362842,0.751456902188521,-1.25097360180708,1
-0.659153268088692,0.734000736232113,-1.2354270598954,1
-0.653126443356151,0.716708867355083,-1.21872689457491,1
-0.646834843721773,0.699583064051652,-1.20332899745794,1
-0.640306205367648,0.682623462132078,-1.18693008527864,1
-0.633532208258983,0.665852103415799,-1.17175959980239,1
-0.626542147124306,0.649274551204098,-1.15579992119285,1
-0.619334286381759,0.632914779389036,-1.13819895424934,1
-0.611883895122016,0.616780305500795,-1.1201369508612,1
-0.604184990270382,0.600869156333325,-1.10241726234906,1
-0.596246306184776,0.585177836640494,-1.08334814481881,1
-0.588052146986411,0.569720506360474,-1.06274202208136,1
-0.579583974365465,0.554512054772557,-1.04173468388867,1
-0.570839569815662,0.53955559073537,-1.02054687872025,1
-0.561821040770994,0.524854227335767,-0.999131469144606,1
-0.552531376908153,0.510414034066617,-0.977559884165153,1
-0.542975216756712,0.496241079164549,-0.956399151060634,1
-0.533162807927848,0.482332321878833,-0.935737677916573,1
-0.523103766829202,0.468681678346425,-0.914829684276601,1
-0.51279728215534,0.455290759399785,-0.89314339009068,1
-0.502235507356144,0.442167067102093,-0.870269094053806,1
-0.491406318111398,0.429323949312215,-0.846967045210704,1
-0.480310037643105,0.416769688744011,-0.823783230874204,1
-0.468950307501713,0.404502595717047,-0.800544953125192,1
-0.4573183567285,0.39251282432034,-0.777286905505914,1
-0.445417650768057,0.380803628561532,-0.75402902131106,1
-0.433263927240004,0.369389452420038,-0.73076598631079,1
-0.420860954455494,0.358272693671874,-0.707539398977975,1
-0.40820802720086,0.34745116098988,-0.684393875383262,1
-0.395307541816808,0.336924951731201,-0.661451893774612,1
-0.382162559724881,0.326692451205639,-0.638620501021872,1
-0.368774981141179,0.316753488728748,-0.61577256169569,1
-0.35514655058702,0.307110745136154,-0.593821361281792,1
-0.341291272034407,0.29775698610061,-0.572898462605347,1
-0.327225208200312,0.288683454395863,-0.551457991669724,1
-0.312943594158388,0.279898647118594,-0.52965214024862,1
-0.298440619206318,0.271407882924051,-0.508399023920732,1
-0.283718835090367,0.263204040623808,-0.487644634219398,1
-0.268779406240968,0.255280668584927,-0.46730826710083,1
-0.253623687112037,0.247633331661201,-0.447457786945826,1
-0.2382552408688,0.240257653367148,-0.428083849524013,1
-0.22267868973531,0.233150012705424,-0.409181447788587,1
-0.206898400005725,0.226306757979133,-0.390772209094421,1
-0.190918420956219,0.219723679555769,-0.372863597679498,1
-0.174742321878648,0.213396216826748,-0.355471799692632,1
-0.158373455827793,0.207319408527978,-0.338679324440565,1
-0.141816096239717,0.201487051465024,-0.322437738308285,1
-0.125073688791118,0.195893462592343,-0.306614305811163,1
-0.108147635886664,0.190534700718002,-0.291802472823117,1
-0.0910481066907016,0.185398398369451,-0.278148826946341,1
-0.073788662032837,0.18046994413591,-0.264251193708727,1
-0.0563636426255165,0.175755103941602,-0.250067264017395,1
-0.0387662405353657,0.171260488614969,-0.236469284911565,1
-0.0210037559984406,0.166980124856308,-0.223255975340446,1
-0.00308265421982234,0.162911305056525,-0.21071227752858,1
0.0149900576077862,0.159045783441927,-0.199520663944589,1
0.0331961017935138,0.155364320106575,-0.188787321262173,1
0.0515290120753122,0.151861586636189,-0.177714427061042,1
0.0699985536578982,0.148544286093821,-0.166806868797321,1
0.0886066733402227,0.145411211087658,-0.156676910984693,1
0.107343890409969,0.14245126213296,-0.147593240483347,1
0.126195549208357,0.139648503561064,-0.138615610971945,1
0.145162112384771,0.137002472871744,-0.129302452336329,1
0.164251671869934,0.134520297305851,-0.120244406322115,1
0.183463237404834,0.132199015629703,-0.112068728236396,1
0.202785652219865,0.130024465863345,-0.104800218852527,1
0.222207603821322,0.127981556453132,-0.0972095575293645,1
0.241738397274334,0.126076973636367,-0.0895235565957256,1
0.261381361545343,0.124313752668522,-0.0827411045169036,1
0.281119366114674,0.122676871250811,-0.0758772716794738,1
0.300951367718079,0.121169178522571,-0.0684832900109834,1
0.320885006013981,0.119801919257357,-0.0613085386933168,1
0.340914930097553,0.118572372981832,-0.054717399585964,1
0.361029939552153,0.117470632217288,-0.0489565087852386,1
0.381215152171851,0.116481644436621,-0.044268170582951,1
0.40145183202579,0.115585217997355,-0.0396316089631293,1
0.421741665091815,0.114780678002458,-0.0339123121381784,1
0.442108972681575,0.11408971060857,-0.0284130451085353,1
0.462551250391332,0.113508726898531,-0.0237596517350797,1
0.483051458519099,0.113021557416993,-0.0191702193822511,1
0.503606375215703,0.112627466877614,-0.0146784622707673,1
