s,x,y,kappa,n_l,n_r
6.6,5.685,2.249,0.452,0.517,0.93
6.7,5.689,2.349,0.454,0.516,0.93
6.8,5.687,2.449,0.459,0.514,0.93
6.9,5.682,2.549,0.47,0.512,0.929
7.0,5.671,2.648,0.487,0.509,0.927
7.1,5.656,2.747,0.51,0.506,0.926
7.2,5.636,2.845,0.539,0.502,0.924
7.3,5.61,2.942,0.577,0.499,0.921
7.4,5.579,3.037,0.622,0.495,0.918
7.5,5.542,3.13,0.676,0.491,0.914
7.6,5.499,3.22,0.74,0.488,0.909
7.7,5.45,3.307,0.814,0.485,0.903
7.8,5.393,3.39,0.899,0.482,0.896
7.9,5.33,3.467,0.994,0.48,0.887
8.0,5.259,3.537,1.101,0.479,0.877
8.1,5.181,3.6,1.22,0.479,0.866
8.2,5.095,3.652,1.349,0.481,0.853
8.3,5.004,3.692,1.487,0.483,0.838
8.4,4.908,3.719,1.623,0.487,0.822
8.5,4.808,3.729,1.735,0.492,0.804
8.6,4.709,3.722,1.788,0.499,0.784
8.7,4.612,3.697,1.748,0.508,0.763
8.8,4.521,3.656,1.605,0.518,0.741
8.9,4.438,3.6,1.38,0.529,0.719
9.0,4.364,3.533,1.116,0.542,0.695
9.1,4.297,3.458,0.851,0.556,0.672
9.2,4.237,3.378,0.606,0.571,0.648
9.3,4.182,3.295,0.388,0.587,0.624
9.4,4.13,3.21,0.194,0.603,0.602
9.5,4.08,3.123,0.015,0.619,0.58
9.6,4.03,3.037,-0.157,0.636,0.559
9.7,3.978,2.951,-0.331,0.651,0.541
9.8,3.924,2.867,-0.519,0.666,0.524
9.9,3.865,2.786,-0.731,0.68,0.509
10.0,3.801,2.709,-0.981,0.693,0.497
10.1,3.73,2.639,-1.279,0.703,0.487
10.2,3.65,2.579,-1.621,0.712,0.48
10.3,3.562,2.532,-1.968,0.719,0.476
10.4,3.466,2.503,-2.227,0.723,0.474
10.5,3.367,2.497,-2.285,0.724,0.476
10.6,3.268,2.514,-2.104,0.724,0.48
10.7,3.176,2.552,-1.763,0.72,0.487
10.8,3.092,2.606,-1.381,0.715,0.496
10.9,3.015,2.67,-1.036,0.707,0.507
11.0,2.946,2.742,-0.749,0.698,0.521
11.1,2.882,2.819,-0.516,0.686,0.536
11.2,2.822,2.899,-0.321,0.674,0.552
11.3,2.765,2.981,-0.151,0.66,0.569
11.4,2.709,3.064,0.007,0.645,0.587
