s,x,y,kappa,n_l,n_r
15.7,-0.702,2.75,1.101,0.727,0.914
15.75,-0.746,2.726,1.196,0.726,0.931
15.8,-0.788,2.699,1.29,0.725,0.962
15.85,-0.828,2.669,1.377,0.724,1.002
15.9,-0.866,2.636,1.451,0.725,1.053
15.95,-0.902,2.601,1.505,0.727,1.056
16.0,-0.934,2.563,1.534,0.728,1.055
16.05,-0.964,2.523,1.534,0.732,1.027
16.1,-0.991,2.481,1.504,0.733,0.977
16.15,-1.014,2.437,1.446,0.734,0.897
16.2,-1.034,2.391,1.366,0.734,0.848
16.25,-1.051,2.344,1.269,0.734,0.81
16.3,-1.065,2.296,1.163,0.731,0.777
16.35,-1.076,2.247,1.054,0.721,0.736
16.4,-1.084,2.198,0.946,0.693,0.7
16.45,-1.09,2.148,0.844,0.66,0.691
16.5,-1.094,2.098,0.751,0.644,0.664
16.55,-1.096,2.048,0.666,0.633,0.646
16.6,-1.097,1.998,0.591,0.613,0.635
16.65,-1.096,1.948,0.526,0.583,0.617
16.7,-1.093,1.898,0.469,0.557,0.6
16.75,-1.09,1.848,0.421,0.55,0.604
16.8,-1.085,1.799,0.38,0.536,0.605
16.85,-1.08,1.749,0.346,0.527,0.601
16.9,-1.074,1.699,0.317,0.526,0.599
16.95,-1.067,1.65,0.293,0.52,0.592
17.0,-1.059,1.6,0.272,0.513,0.601
17.05,-1.05,1.551,0.253,0.513,0.606
17.1,-1.041,1.502,0.237,0.526,0.612
17.15,-1.031,1.453,0.222,0.525,0.598
17.2,-1.021,1.404,0.208,0.521,0.594
17.25,-1.01,1.355,0.194,0.528,0.596
17.3,-0.999,1.306,0.181,0.526,0.575
17.35,-0.988,1.258,0.168,0.531,0.575
17.4,-0.976,1.209,0.156,0.53,0.566
17.45,-0.963,1.161,0.144,0.527,0.557
17.5,-0.95,1.112,0.133,0.546,0.556
17.55,-0.937,1.064,0.124,0.539,0.538
17.6,-0.924,1.016,0.115,0.531,0.533
17.65,-0.91,0.968,0.109,0.539,0.543
17.7,-0.896,0.92,0.104,0.53,0.559
17.75,-0.882,0.872,0.102,0.537,0.564
17.8,-0.868,0.824,0.103,0.528,0.575
17.85,-0.853,0.776,0.108,0.54,0.57
17.9,-0.838,0.729,0.117,0.546,0.562
17.95,-0.823,0.681,0.13,0.552,0.562
